9571991,19980401,article,mesh,"Animals,Biotransformation,Carcinogens,Cell Death,Cell Separation,Cells, Cultured,Chloroform,Cytochrome P-450 Enzyme Inhibitors,Dithiothreitol,Glutathione,Imidazoles,Liver,Male,Mice,Oxidative Stress,Rats,Rats, Inbred F344,Solvents,Sulfhydryl Reagents","analysis,drug effects,pathology,pharmacology,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D007093 Q000494 NN,D002273 Q000633 NY,D016923 Q000187 NN,D002725 Q000633 NY,D012997 Q000633 NN,D005978 Q000032 NN","6212,19001,81595,124886,439196,446094",NULL,Chloroform-induced cytolethality in freshly isolated male B6C3F1 mouse and F-344 rat hepatocytes.,Chloroform is carcinogenic in rodents but is not mutagenic or DNA reactive. Chloroform-induced hepatocarcinogenesis in rodents is believed to be secondary to events associated with cytotoxicity and cell proliferation. Understanding the mechanisms of chloroform toxicity may provide insights into the mechanisms of carcinogenicity. The goal of these studies was to characterize the cytotoxicity of chloroform in male B6C3F1 mouse and F-344 rat hepatocytes in vitro. We used an in vitro suspension-culture system t,Toxicology and applied pharmacology,"P Ammann, C L Laethem, G L Kedderis"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA.",1998 Apr;149(2):217-25,10.1006/taap.1997.8351
18515041,20080801,article,"xref,mesh","Acacia,Animals,Antimutagenic Agents,Antioxidants,Cell Line, Tumor,Comet Assay,DNA,Drug Combinations,Flavonoids,Formazans,Gene Expression Profiling,Gene Expression Regulation,Genes, Bacterial,Humans,Hydrogen Peroxide,K562 Cells,Medicine, Traditional,Oligonucleotide Array Sequence Analysis,Oxidants,Plant Extracts,Rats,Ribosomal Proteins,Salmonella typhimurium,Tetrazolium Salts","chemistry,drug effects,genetics,metabolism,pharmacology","D005562 Q000378 NN,D004247 Q000187 NN,D005419 Q000494 NY,D010936 Q000494 NN,D016877 Q000494 NY,D005786 Q000187 NY,D016587 Q000494 NY,D006861 Q000494 NY,D005419 Q000737 NN,D012486 Q000235 NN,D020014 Q000378 NN,D005798 Q000187 NN,D020014 Q000187 NN,D000975 Q000494 NY,D012486 Q000187 NN,D000045 Q000737 NY,D013778 Q000378 NN,D012269 Q000187 NN,D012269 Q000378 NN","784,1188,6212,67519,3634887,9628905,16218671,44135672,54226752","128047904,128392536,128530096,129019136","Antimutagenic, antigenotoxic and antioxidant activities of Acacia salicina extracts (ASE) and modulation of cell gene expression by H2O2 and ASE treatment.","The total oligomers flavonoids (TOF), chloroform, petroleum ether and aqueous extracts from Acacia salicina, were investigated for the antioxidative, cytotoxic, antimutagenic and antigenotoxic activities. The viability of K562 cells were affected by all extracts after 48 h exposure. Our results showed that A. salicina extracts have antigenotoxic and/or antimutagenic activities. TOF and chloroform extracts exhibit antioxidant properties, expressed by the capacity of these extracts to inhibit xanthine oxidase",Toxicology in vitro : an international journal published in association with BIBRA,"Ines Bouhlel, Kita Valenti, Soumaya Kilani, Ines Skandrani, Mohamed Ben Sghaier, Anne-Marie Mariotte, Marie-Genevieve Dijoux-Franca, Kamel Ghedira, Isabelle Hininger-Favier, François Laporte, Leila Chekir-Ghedira"," Unité de Pharmacognosie/Biologie Moléculaire 99/UR/07-03, Faculté de Pharmacie de Monastir, Rue Avicenne 5000 Monastir, Tunisia.",2008 Aug;22(5):1264-72,10.1016/j.tiv.2008.04.008
24702800,20140301,article,mesh,"Animals,Asthma,Bronchoalveolar Lavage Fluid,Eosinophils,Female,Flowers,Hematology,Inflammation,Ipomoea,Leukocyte Count,Male,Molecular Structure,Neutrophils,Phytotherapy,Plant Extracts,Rats,Rats, Wistar,Stigmasterol,Toluene 2,4-Diisocyanate","analogs &amp; derivatives,blood,chemically induced,chemistry,drug therapy,isolation &amp; purification,metabolism,pharmacology,therapeutic use","D007249 Q000378 NN,D035264 Q000737 NN,D010936 Q000737 NN,D001249 Q000139 NN,D013265 Q000627 NN,D007249 Q000097 NN,D013265 Q000031 NY,D010936 Q000494 NN,D007249 Q000139 NN,D001249 Q000188 NY,D013265 Q000737 NN,D010936 Q000627 NY,D013265 Q000302 NN,D013265 Q000494 NN,D001249 Q000378 NN,D004804 Q000378 NN,D009504 Q000378 NN,D007249 Q000188 NY,D001249 Q000097 NN,D027741 Q000737 NY","11443,5280794,5281330,5364569,6432745,12314472,53870683,91692579",NULL,Effect of Ipomea carnea Jacq. flowers on hematological changes in toluene diisocyanate-induced inflammation in Wistar rats.,"AIM: To investigate the active chloroform fraction of the ethanol extract of Ipomoea carnea flowers on hematological changes in toluene diisocyanate-induced inflammation in Wistar rats. METHOD: Except for the control group, all of the rats were sensitized with intranasal application of 5 μL of 10% toluene diisocyanate (TDI) for 7 days. One week after second sensitization, all of the rats were provoked with 5 μL of 5% TDI to induce airway hypersensitivity. After the last challenge, blood and bronchoalvelor l",Chinese journal of natural medicines,"Jain Smita, U K Patil"," Department of Pharmacognosy, VNS Institute of Pharmacy, Bhopal (M.P.) 462044, India. Department of Pharmaceutical Sciences, Dr. H.S. Gour Central University, Sagar (M.P.) 470003, India. Electronic address: jainsmita09@gmail.com.",2014 Mar;12(3):161-6,10.1016/s1875-5364(14)60027-3
25441150,20141101,article,mesh,"Actinidia,Animals,Anti-Inflammatory Agents,Cell Line, Tumor,Cyclooxygenase 2,Dinoprostone,Down-Regulation,Inflammation,Interleukin-1beta,Interleukin-6,JNK Mitogen-Activated Protein Kinases,Lipopolysaccharides,Macrophages,Mice,Mitogen-Activated Protein Kinases,NF-kappa B,Nitric Oxide,Nitric Oxide Synthase Type II,Phosphorylation,Plant Extracts,Plant Stems,Tumor Necrosis Factor-alpha,p38 Mitogen-Activated Protein Kinases","adverse effects,chemistry,drug effects,drug therapy,genetics,metabolism,pharmacology","D007249 Q000188 NN,D052247 Q000378 NN,D015850 Q000378 NN,D053583 Q000235 NN,D008264 Q000378 NN,D014409 Q000378 NN,D051546 Q000378 NN,D029042 Q000737 NY,D014409 Q000235 NN,D020928 Q000378 NN,D053583 Q000378 NN,D048051 Q000235 NN,D016328 Q000378 NY,D009569 Q000378 NN,D010936 Q000494 NY,D048031 Q000378 NN,D015850 Q000235 NN,D008070 Q000009 NY,D051546 Q000235 NN,D052247 Q000235 NN,D018547 Q000737 NN,D048051 Q000378 NN,D020928 Q000235 NN,D016328 Q000235 NN,D000893 Q000494 NN,D008264 Q000187 NY,D015232 Q000378 NN","145068,5280360",NULL,Extracts of Actinidia arguta stems inhibited LPS-induced inflammatory responses through nuclear factor-κB pathway in Raw 264.7 cells.,"The inflammatory response protects our body from bacteria and tumors, but chronic inflammation driven by the persistent activation of macrophages can lead to serious adverse effects including gastrointestinal problems, cardiac disorders, and a sore throat. Part of the ongoing research is focused on searching for antiinflammatory compounds from natural sources, so we investigated the effects of hardy kiwis (Actinidia arguta, Lauraceae) stems on inflammation induced by lipopolysaccharide (LPS) in Raw 264.7 ce","Nutrition research (New York, N.Y.)","Hae-Young Kim, Kwang Woo Hwang, So-Young Park"," World Class University, Department of Nanobiomedicine, Dankook University, Cheonan 330-714, Korea.",2014 Nov;34(11):1008-16,10.1016/j.nutres.2014.08.019
27833374,20150101,article,NULL,NULL,NULL,NULL,NULL,NULL,Assessment of cytotoxicity of Portulaca oleracea Linn. against human colon adenocarcinoma and vero cell line.,"BACKGROUND: Portulaca oleracea Linn. (Portulacaceae) is commonly known as purslane in English. In traditional system it is used to cure diarrhea, dysentery, leprosy, ulcers, asthma, and piles, reduce small tumors and inflammations. AIM: To assess cytotoxic potential of chloroform extract of P. oleracea whole plant against human colon adenocarcinoma (HCT-15) and normal (Vero) cell line. MATERIALS AND METHODS: Characterization of chloroform extract of P. oleracea by Fourier transform infrared (FTIR) spectrosc",Ayu,Prashant Y Mali," Department of Pharmacology, Sandip Institute of Pharmaceutical Sciences, Sandip Foundation, Nashik, Maharashtra, India.",2015 Jan;36(4):432-436,10.4103/0974-8520.190691
28808404,20170701,article,NULL,NULL,NULL,NULL,NULL,NULL,In vitro Antioxidant and Antiproliferative Activities of Various Solvent Fractions from Clerodendrum viscosum Leaves.,"BACKGROUND: Free radicals such as reactive oxygen and nitrogen species, generated in the body, play an important role in the fulfillment of various physiological functions but their imbalance in the body lead to cellular injury and various clinical disorders such as cancer, neurodegenaration, and inflammation. OBJECTIVE: The objective of this study is to fight this problem, natural antioxidant from plants can be considered as possible protective agents against various diseases such as cancer which might als",Pharmacognosy magazine,"Anil Khushalrao Shendge, Tapasree Basu, Dipankar Chaudhuri, Sourav Panja, Nripendranath Mandal"," Division of Molecular Medicine, Bose Institute, Kolkata, West Bengal, India. Division of Molecular Medicine, Bose Institute, Kolkata, West Bengal, India. Division of Molecular Medicine, Bose Institute, Kolkata, West Bengal, India. Division of Molecular Medicine, Bose Institute, Kolkata, West Bengal, India. Division of Molecular Medicine, Bose Institute, Kolkata, West Bengal, India.",2017 Jul;13(?):S344-S353,10.4103/pm.pm_395_16
11934011,20020101,article,"xref,mesh","4-Nitroquinoline-1-oxide,Comet Assay,DNA Damage,Micronucleus Tests,Mutagens,Plant Extracts,Protective Agents,Salmonella,Solvents,Terminalia","chemistry,drug effects,genetics,pharmacology,toxicity","D012475 Q000187 NN,D012475 Q000235 NN,D015112 Q000633 NN,D012997 Q000737 NN,D010936 Q000737 NY,D020011 Q000494 NY,D029766 Q000737 NY,D009153 Q000633 NY","180,3283,5955,6212,8857","127669892,128047904,129181549,129677094,129797117",In vitro protective effects of Terminalia arjuna bark extracts against the 4-nitroquinoline-N-oxide genotoxicity.,"We determined the antimutagenic potential of chloroform, acetone, methanol, methanol+HCl, diethyl ether, and ethyl acetate extracts of Terminalia arjuna bark against the model mutagen 4-nitroquinoline-N-oxide (4-NQO) using the Salmonella/microsome, comet, and micronucleus (MN) tests. Salmonella typhimurium TA100 strain and human peripheral white blood cells were coincubated with various concentrations (from 5 to 500 microg) of the six extracts and 4-NQO (from 0.05 to 2 microg). We found that the 4-NQO mutag","Journal of environmental pathology, toxicology and oncology : official organ of the International Society for Environmental Toxicology and Cancer","Rossana Pasquini, Giuseppina Scassellati-Sforzolini, Milena Villarini, Massimo Moretti, Massimiliano Marcarelli, Cristina Fatigoni, Satwinderjeet Kaur, Subodh Kumar, Iqbal Sing Grover"," Department of Hygiene, University of Perugia, Italy. pasquini@unipg.it",2002 Jan;21(1):33-44,NULL
16047558,20050101,article,xref,"Antineoplastic Agents,Apoptosis,Blotting, Western,Caesalpinia,Carcinoma, Squamous Cell,Cell Nucleus,Cell Survival,Dose-Response Relationship, Drug,G1 Phase,Head and Neck Neoplasms,Humans,Plant Extracts,Tumor Cells, Cultured,Tumor Suppressor Protein p53","biosynthesis,drug effects,drug therapy,pathology,pharmacology","D000970 Q000494 NY,D017209 Q000187 NN,D002294 Q000188 NY,D002470 Q000187 NN,D010936 Q000494 NN,D006258 Q000188 NY,D002294 Q000473 NN,D002467 Q000187 NN,D006258 Q000473 NN,D016193 Q000187 NN,D016159 Q000096 NY,D014407 Q000187 NN","263,6212","128047904,128530390",Caesalpinia sappan induces cell death by increasing the expression of p53 and p21WAF1/CIP1 in head and neck cancer cells.,Caesalpinia sappan L. (C. sappan) has been used in Oriental medicine as an antitumor agent. The present study shows the effects of the chloroform extract of C. sappan on cell death in head and neck cancer cell lines. The viability of HNSCC4 and HNSCC31 cells (head and neck cancer cell lines) was noticeably decreased compared to that of HaCaT cells (control group) in the presence of chloroform extract. No significant difference was observed in the viability of HNSCC4 and HNSCC31 cells when compared with HaCa,The American journal of Chinese medicine,"Eun-Cheol Kim, Young-Soo Hwang, Hwa-Jeong Lee, Sun-Kyung Lee, Myung-Hee Park, Byung-Hun Jeon, Chang-Duk Jeon, Suk-Keun Lee, Hycon-Hee Yu, Yong-Ouk You"," Department of Oral and Maxillofacial Pathology, School of Dentistry, Wonkwang University, South Korea.",2005 Jan;33(3):405-14,10.1142/s0192415x05003016
19583256,20090812,article,"xref,mesh","Antioxidants,Azadirachta,DNA Damage,DNA, Bacterial,Erythrocytes,Humans,Hydrogen Peroxide,Lipid Peroxidation,Oxidation-Reduction,Oxidative Stress,Plant Extracts,Plant Leaves,Plasmids","chemistry,drug effects,genetics,metabolism,pharmacology","D004912 Q000187 NY,D010084 Q000187 NN,D004912 Q000378 NN,D006861 Q000494 NY,D004269 Q000737 NN,D010957 Q000737 NN,D004249 Q000187 NY,D015227 Q000187 NN,D018384 Q000187 NY,D010936 Q000494 NY,D010957 Q000235 NN,D000975 Q000494 NY,D004269 Q000235 NN,D031601 Q000737 NY,D018515 Q000737 NN","241,784,6212,8857,5280343","128047904,129116523,129369435,129677094",Evaluation of Azadirachta indica leaf fractions for in vitro antioxidant potential and protective effects against H2O2-induced oxidative damage to pBR322 DNA and red blood cells.,"We evaluated the protective effects of subfractions of the ethyl acetate fraction (EAF) and the methanolic fraction (MF) from the crude ethanolic extract (CEE) of Azadirachta indica A. Juss (neem) leaves against various free radicals and hydrogen peroxide (H2O2)-induced oxidative damage to red blood cells (RBCs) and pBR322 DNA. Neem leaf fractions reduced DPPH(*), ABTS(*+), superoxide (O(*-)), hydroxyl (OH(*)), and nitric oxide radicals to nonradical forms in a concentration-dependent manner. Treatment with",Journal of agricultural and food chemistry,"P Manikandan, R Anandan, S Nagini"," Department of Biochemistry and Biotechnology, Faculty of Science, Annamalai University, Annamalainagar 608 002, Tamil Nadu, India.",2009 Aug;57(15):6990-6,10.1021/jf901351n
20606832,20100201,article,xref,NULL,NULL,NULL,"176,263,702,3301,6049,6212,8857,259846,5280343,5281654","128047904,128243521,128364298,128482492,128530390,128920175,129071275,129116523,129677094,135742172",Immunosuppressive properties of Pluchea lanceolata leaves.,"OBJECTIVE: To investigate the immunosuppressive potential of Pluchea lanceolata 50% ethanolic extract (PL) and its bioactive chloroform fraction (PLC). MATERIALS AND METHODS: Preliminary screening of the Pluchea lanceolata 50% ethanolic extract (PL) was carried out with basic models of immunomodulation, such as, the humoral antibody response (hemagglutination antibody titers), cell-mediated immune response (delayed-type hypersensitivity), skin allograft rejection test, in vitro (C. albicans method), and in ",Indian journal of pharmacology,"D P Bhagwat, M D Kharya, Sarang Bani, Anpurna Kaul, Kiranjeet Kour, Prashant Singh Chauhan, K A Suri, N K Satti"," Pharmacology Research Laboratory, ASBASJSM College of Pharmacy, Bela (Ropar), Punjab, India.",2010 Feb;42(1):21-6,10.4103/0253-7613.62405
22083996,20110101,article,xref,"Animals,Anti-Inflammatory Agents,Cell Line, Tumor,Cell Proliferation,Cytostatic Agents,Free Radical Scavengers,Humans,Kalanchoe,Macrophages,Mice,Plant Extracts,Plant Stems","chemistry,cytology,drug effects,immunology,pharmacology","D008264 Q000276 NN,D000893 Q000494 NY,D016166 Q000494 NY,D049109 Q000187 NY,D008264 Q000187 NN,D010936 Q000494 NY,D031962 Q000737 NY,D008264 Q000166 NN,D018547 Q000737 NN,D054697 Q000494 NY",6212,128047904,"Antioxidant, anti-inflammatory and antiproliferative activities of Kalanchoe gracilis (L.) DC stem.","Oxidative stress and inflammation are related to several chronic diseases including cancer and atherosclerosis. Kalanchoe gracilis (L.) DC is a special folk medicinal plant in Taiwan. The aim of this study was to evaluate the antioxidant, anti-inflammatory and antiproliferative activities of the methanolic extract and fractions of the stem of K. gracilis. TEAC, total phenolic compound content, total flavonoid content, DPPH radical scavenging activity, reducing power, inhibition of NO production in LPS-induc",The American journal of Chinese medicine,"Zhen-Rung Lai, Yu-Ling Ho, Shun-Chieh Huang, Tai-Hung Huang, Shang-Chih Lai, Jen-Chieh Tsai, Ching-Ying Wang, Guan-Jhong Huang, Yuan-Shiun Chang"," School of Chinese Pharmaceutical Sciences and Chinese Medicine Resources, China Medical University, Taichung, Taiwan.",2011 Jan;39(6):1275-90,10.1142/s0192415x1100955x
28330320,20161201,article,NULL,NULL,NULL,NULL,NULL,NULL,Xanthine oxidase inhibitory and antioxidant potential of Indian Muscodor species.,"Xanthine oxidase is a key enzyme responsible for hyperuricemia, a pre-disposing factor for Gout and oxidative stress-related diseases. Only two clinically approved xanthine oxidase inhibitors Allopurinol and Febuxostat are currently used for treatment of hyperuricemia. However, owing to their side effects there is a need for new non-purine-based selective inhibitors of xanthine oxidase. In the process of exploring novel xanthine oxidase inhibitors and anti-oxidants, we screened the culture filtrate of 07 no",3 Biotech,"Neha Kapoor, Sanjai Saxena"," Department of Biotechnology, Thapar University, Patiala, Punjab, 147004, India. Department of Biotechnology, Thapar University, Patiala, Punjab, 147004, India. sanjaibiotech@yahoo.com.",2016 Dec;6(2):248,10.1007/s13205-016-0569-5
29797173,20180801,article,mesh,"Aizoaceae,Animals,Anti-Inflammatory Agents,Arthritis,Cyclooxygenase 2,Disease Models, Animal,Inflammation,Macrophages,Male,Mice,Molecular Docking Simulation,Nitric Oxide,Octanols,Oleanolic Acid,Phytotherapy,Plant Extracts,Plant Leaves,RAW 264.7 Cells,Tumor Necrosis Factor-alpha","analogs &amp; derivatives,drug effects,drug therapy,metabolism,pharmacology","D007249 Q000188 NN,D009828 Q000031 NY,D008264 Q000378 NN,D010936 Q000494 NN,D014409 Q000378 NN,D009828 Q000494 NN,D051546 Q000378 NN,D000067996 Q000187 NN,D009569 Q000378 NN,D035722 Q000378 NN,D001168 Q000188 NN,D000893 Q000494 NN,D000442 Q000494 NY","10494,145068,12442849,101710279",NULL,Anti-inflammatory activity of dimethyl octenol and oleanene tetrol isolated from Trianthema decandra L.,"Dimethyl octenol from chloroform extract and oleanene tetrol from water extract of Trianthema decandra (TD) were isolated and characterized by using HPLC, UV, FT-IR, NMR, LC-MS and CHNS, their structure were elucidated from their respective spectral data. The anti-inflammatory activity of chloroform extract, water extract, dimethyl octenol and oleanene tetrol of T. decandra were studied and underlying cellular and molecular mechanisms of action were investigated in vitro and in vivo using macrophage-like ce",Molecular biology reports,"Geethalakshmi Rajarathinam, Sarada V L Dronamraju"," Department of Biotechnology, School of Bioengineering, SRM University, Kattankulathur, Tamil Nadu, 603203, India. Department of Biotechnology, School of Bioengineering, SRM University, Kattankulathur, Tamil Nadu, 603203, India. sarada.dvl@ktr.srmuniv.ac.in.",2018 Aug;45(4):547-561,10.1007/s11033-018-4193-9
3915215,19850101,article,mesh,"Animals,Chromatography,Glycolipids,Granuloma,Inflammation,Lung,Male,Mice,Mice, Inbred Strains,Mycobacterium bovis,Mycolic Acids,Pneumonia","etiology,isolation &amp; purification,pathology","D008168 Q000473 NN,D011014 Q000209 NN,D011014 Q000473 NN,D009171 Q000302 YN,D007249 Q000209 NY,D006017 Q000302 YN,D006099 Q000473 NN",NULL,NULL,Inflammation induced by mycolic acid-containing glycolipids of Mycobacterium bovis (BCG).,"Mycobacterium bovis (BCG) was submitted to lipid extraction involving gentle and drastic procedures. Neutral lipids, glycolipids as well as phospholipids were detected in the diethyl ether extract, whereas the chloroform and chloroform-methanol extracts contained mainly phospholipids. Arabinose mycolates, which represent firmly bound cell wall lipids, were detected in the acidified ether extract. The lipid extracts were adsorbed to charcoal particles and inoculated intravenously into mice. Histological anal",Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas,C L Silva,NULL,1985 Jan;18(3):327-35,NULL
7753038,19950112,article,mesh,"Animals,Annelida,DNA,DNA Adducts,Methods,Spectrometry, Fluorescence","genetics,isolation &amp; purification","D004247 Q000302 NY,D000845 Q000235 NY",44135672,NULL,Isolation of genomic DNA from the earthworm species Eisenia fetida.,"Our interest in detecting genotoxic exposure in earthworms led us to isolate high quality DNA from the Eisenia fetida species. For that, we compared a modification of the conventional phenol-chloroform extraction procedure, usually referred to as the Maniatis procedure, to two commercially available kits reportedly eliminating multiple partitions in phenol and chloroform, namely the Qiagen and Nucleon protocols. From the 260 nm optical density values, the commercial kits extracts hinted toward higher DNA re",Molecular and cellular biochemistry,"C el Adlouni, M J Mukhopadhyay, P Walsh, G G Poirier, D Nadeau"," Health and Environment Unit, Laval University Medical Research Center, CHUL, Sainte-Foy, Québec, Canada.",1995 Jan;142(1):19-23,10.1007/bf00928909
8739179,19960101,article,mesh,"Animals,Anti-Infective Agents,Carrageenan,Flavanones,Flavonoids,Inflammation,Male,Medicine, Chinese Traditional,Pain Measurement,Rats,Rats, Wistar","drug therapy,pharmacology","D000890 Q000494 NY,D005419 Q000494 NY,D002351 Q000494 NN,D007249 Q000188 NY","64982,5281605,5281703,11966249",NULL,"The anti-inflammatory activity of Scutellaria rivularis extracts and its active components, baicalin, baicalein and wogonin.","Five extracts (n-hexane, chloroform, ethyl acetate, n-butanol and water) of Scutellaria rivularis Benth. were evaluated for their anti-inflammatory activity against carrageenan-induced paw edema in rats and compared with indomethacin. The result indicated that chloroform extract proved to be the most effective in all of the extracts. Consequently, three major components (baicalin, baicalein and wogonin) of the chloroform extract were further tested for their anti-inflammatory activity using the same model. ",The American journal of Chinese medicine,"C C Lin, D E Shieh"," Graduate Institute of Natural Products, Kaohsiung Medical College, Taiwan.",1996 Jan;24(1):31-6,10.1142/s0192415x96000050
8886758,19960101,article,mesh,"Animals,Bronchoalveolar Lavage Fluid,Carbon,Cell Count,Coal Ash,Eosinophils,Gene Expression Regulation,Industrial Waste,Inflammation,Intubation, Intratracheal,Lung,Lung Diseases,Male,Particulate Matter,Polymerase Chain Reaction,RNA,RNA-Directed DNA Polymerase,Rats,Rats, Inbred F344,Rats, Sprague-Dawley,Ribonucleases","administration &amp; dosage,adverse effects,analysis,chemically induced,chemistry,cytology,isolation &amp; purification,metabolism,methods,pathology,toxicity","D012313 Q000378 NN,D007220 Q000009 NN,D001992 Q000166 NN,D008168 Q000473 NN,D008168 Q000737 NN,D012194 Q000378 NN,D012313 Q000302 NY,D007249 Q000473 NY,D016133 Q000379 NN,D007249 Q000139 NN,D012260 Q000032 NN,D002244 Q000008 NN,D008171 Q000473 NY,D008171 Q000139 NN,D002244 Q000633 NY",11963529,NULL,Eosinophilic lung inflammation in particulate-induced lung injury: technical consideration in isolating RNA for gene expression studies.,"Particulate and other pollutant exposures are associated with lung injury and inflammation. The purpose of this study was to develop an approach by which intact RNA could be obtained from inflamed lung tissue from particulate-exposed animals in order to correlate injury with specific gene expression. Male Sprague Dawley (SD) and Fischer-344 (F-344) rats were intratracheally instilled with saline or residual oil fly ash (ROFA) particles, 8.3 mg/kg body weight in saline. At various time points following ROFA ",Experimental lung research,"U P Kodavanti, R H Jaskot, J Bonner, A Badgett, K L Dreher"," Pulmonary Toxicology Branch, U.S. Environmental Protection Agency, Research Triangle Park, North Carolina 27711, USA.",1996 Jan;22(5):541-54,10.3109/01902149609046041
10589446,19991001,article,mesh,"Animals,Anti-Inflammatory Agents,Carrageenan,Chromatography, High Pressure Liquid,Croton Oil,Dose-Response Relationship, Drug,Ear,Edema,Foot,Inflammation,Irritants,Male,Mice,Plant Extracts,Plant Roots,Plants, Medicinal,Rats,Rats, Sprague-Dawley,Skin","chemistry,drug effects,isolation &amp; purification,pharmacology,prevention &amp; control","D004487 Q000517 NY,D000893 Q000494 NY,D010936 Q000302 NN,D012867 Q000187 NY,D000893 Q000302 NN,D010936 Q000494 NY,D018517 Q000737 NN","899,11966249",NULL,The antiinflammatory activity of Icacina trichantha tuber.,"Five fractions (hexane, chloroform, ethylacetate, methanol and water) of Icacina trichantha tuber were obtained by gradient solvent extraction and tested for their ability to inhibit the Croton oil-induced ear edema in mice. The most active fraction was the chloroform one which significantly inhibited ear edema in a dose-dependent manner, showing an ID50 (dose giving 50% edema inhibition) of 107 micrograms/cm2. The ID50 of the reference drug indomethacin was 93 micrograms/cm2. The chloroform fraction signif",Phytomedicine : international journal of phytotherapy and phytopharmacology,"I U Asuzu, S Sosa, R Della Loggia"," Department of Veterinary Physiology and Pharmacology, University of Nigeria, Nsukka.",1999 Oct;6(4):267-72,NULL
15281223,19990101,article,mesh,"4-Nitroquinoline-1-oxide,Antimutagenic Agents,Comet Assay,DNA Damage,Medicine, Ayurvedic,Micronucleus Tests,Mutagens,Plant Extracts,Quinolones,Solvents,Terminalia","chemistry,drug effects,pharmacology,toxicity","D010936 Q000737 NN,D016587 Q000494 NY,D015112 Q000633 NN,D004249 Q000187 NY,D012997 Q000737 NN,D010936 Q000494 NY,D015363 Q000633 NN,D029766 Q000737 NY,D009153 Q000633 NN","5955,3036108",NULL,Antigenotoxic properties of Terminalia arjuna bark extracts.,"Compounds possessing antimutagenic properties (polyphenols, tannins, vitamins, etc.) have been identified in fruits, vegetables, spices, and medicinal plants. Terminalia arjuna (Combretaceae), a tropical woody tree occurring throughout India and known locally as Kumbuk, is a medicinal plant rich in tannins and triterpenes that is used extensively in Ayurvedic medicine as a cardiac tonic. The aim of the present collaborative work was to test six solvent extracts from the bark of Terminalia arjuna for antigen","Journal of environmental pathology, toxicology and oncology : official organ of the International Society for Environmental Toxicology and Cancer","G Scassellati-Sforzolini, L M Villarini, L M Moretti, L M Marcarelli, R Pasquini, C Fatigoni, L S Kaur, S Kumar, I S Grover"," Department of Hygiene, University of Perugia, Italy.",1999 Jan;18(2):119-25,NULL
17368990,20070530,article,xref,"Analgesics,Animals,Anti-Inflammatory Agents,Capillary Permeability,Chemical Fractionation,Chemotaxis, Leukocyte,Complex Mixtures,Disease Models, Animal,Female,Humans,Hypersensitivity, Delayed,In Vitro Techniques,Leukocytes, Mononuclear,Male,Medicine, Chinese Traditional,Mice,Mice, Inbred ICR","chemistry,drug effects,pharmacology,physiology,prevention &amp; control","D000893 Q000494 NY,D002199 Q000187 NN,D000893 Q000737 NN,D006968 Q000517 NN,D007963 Q000502 NN,D045424 Q000737 NN,D000700 Q000737 NN,D007963 Q000187 NN,D002634 Q000187 NN,D045424 Q000494 NY,D000700 Q000494 NY","6212,6953","128047904,128070607",Evaluation of the anti-inflammatory and analgesic activities of Liu-Shen-Wan and its individual fractions.,"Liu-Shen-Wan (LSW), a famous traditional Chinese medicine for treatment of upper respiratory tract inflammation, was evaluated for its anti-inflammatory and analgesic activities. Acetic acid-elevated vascular permeability, carboxymethylcellulose sodium (CMC-Na)-induced leukocyte migration and ear edema induced by picryl chloride were used to test anti-inflammatory activity. Moreover, acetic acid-induced writhing and hot-plate tests were used to determine analgesic effect. It was observed that LSW exerted si",Journal of ethnopharmacology,"Hong-Yue Ma, Jun-Ping Kou, Jing-Rong Wang, Bo-Yang Yu"," Department of Complex Prescription of TCM, China Pharmaceutical University, 1 Shennong Road, Nanjing 210038, PR China.",2007 May;112(1):108-14,10.1016/j.jep.2007.02.008
19167512,20090317,article,xref,"Agriculture,Bacteriophage lambda,Chemical Fractionation,Humans,India,Industrial Waste,Industry,Mutagenicity Tests,Salmonella,Soil,Soil Pollutants,Waste Disposal, Fluid,Water Pollutants, Chemical","adverse effects,analysis,chemistry,drug effects,physiology,toxicity","D012475 Q000502 NN,D012475 Q000187 NN,D010582 Q000187 NN,D007220 Q000009 NY,D012989 Q000737 NN,D012989 Q000633 NY,D012987 Q000032 NY,D010582 Q000502 NN,D014874 Q000737 NN,D014874 Q000633 NN","180,2730,4004,6212,6342,8058","127669892,128047904,128342666,129212754,129491807,129571406",Genotoxicity of agricultural soils in the vicinity of industrial area.,"Soil samples from agricultural fields (cultivated) in the vicinity of industrial area of Ghaziabad City (India) were collected. In this city, wastewater coming from both industrial and domestic sources and without any treatment is used to irrigate the food crops. This practice has been polluting the soil and pollutants might reach the food chain. Gas chromatographic analysis show the presence of certain organochlorine (DDE, DDT, dieldrin, aldrin and endosulfan) and organophosphorus (dimethoate, malathion, m",Mutation research,"Mohd Ikram Ansari, Abdul Malik"," Department of Agricultural Microbiology, Faculty of Agricultural Sciences, Aligarh Muslim University, Anoopshahar Road, Aligarh, Uttar Pradesh 202 002, India.",2009 Mar;673(2):124-32,10.1016/j.mrgentox.2008.12.006
