12415124,20030101,review,"xref,mesh","Animals,Carcinogenicity Tests,Carcinogens,DNA,DNA Damage,DNA Repair,Dose-Response Relationship, Drug,Humans,Mutagens,Risk Assessment,Vinyl Compounds","classification,drug effects,toxicity","D004247 Q000187 NN,D014753 Q000633 NY,D014753 Q000145 NN,D002273 Q000633 NY,D009153 Q000145 NN,D009153 Q000633 NY,D002273 Q000145 NN","176,177,5921,7904,44135672","128180287,129071275,129557820,129740424",Challenging dogma: thresholds for genotoxic carcinogens? The case of vinyl acetate.,"Although many questions remain unanswered, the general principle of the sequence of events leading to cancer after exposure to genotoxic carcinogens has become increasingly clear. This helps to understand the parameters that influence the shape of the dose-effect curve for carcinogenesis, including metabolic activation and inactivation of carcinogens, DNA repair, cell cycle control, apoptosis, and control by the immune system. A linear dose-response relationship with no observable threshold seems to be a co",Annual review of pharmacology and toxicology,"J G Hengstler, M S Bogdanffy, H M Bolt, F Oesch"," Institute of Toxicology, University of Mainz, D-55131 Mainz, Germany. hengstle@mail.Uni-Mainz.de",2003 Jan;43(?):485-520,10.1146/annurev.pharmtox.43.100901.140219
3185588,19881101,article,mesh,"Acetaldehyde,Animals,Cell Nucleus,Cyclophosphamide,Dose-Response Relationship, Drug,Male,Meiosis,Mice,Sperm Count,Spermatogenesis,Spermatozoa,Testis,Vinyl Compounds","anatomy &amp; histology,drug effects,pharmacology,toxicity,ultrastructure","D002467 Q000648 NN,D003520 Q000494 NN,D000079 Q000633 NY,D014753 Q000633 NY,D013094 Q000648 NN,D013737 Q000187 NY,D013091 Q000187 NY,D013737 Q000033 NN,D013076 Q000187 NN,D013094 Q000187 NY","177,2907,7904,22420",NULL,Effects of vinyl acetate and acetaldehyde on sperm morphology and meiotic micronuclei in mice.,"The testicular genotoxic effects of vinylacetate (VA) and its hydrolysis product, acetaldehyde (AA), were studied in mice by analyzing the induction of morphologically abnormal sperm and meiotic micronuclei. VA significantly increased the frequency of sperm abnormalities at 500 mg/kg/day while lower doses were ineffective. AA did not induce abnormal sperm. Neither of the compounds influenced the frequency of meiotic micronuclei. VA, but not AA, caused a dose-dependent decrease in sperm production and a redu",Mutation research,J Lähdetie," Department of Medical Genetics, University of Turku, Finland.",1988 Nov;202(1):171-8,10.1016/0027-5107(88)90179-0
16104691,20050801,article,"xref,mesh","Acetylene,Alkynes,Carbon,Cyclization,Isomerism,Onium Compounds,Salts,Vinyl Compounds","chemical synthesis,chemistry","D012492 Q000737 NY,D000114 Q000737 NN,D000480 Q000138 NY,D014753 Q000737 NY,D009861 Q000737 NY,D002244 Q000737 NN","176,6326,10887832","129071275,129555393",Generation of cycloalkynes by hydro-iodonio-elimination of vinyl iodonium salts.,"Cyclohexynes can be generated efficiently from 1-cyclohexenyliodonium salts with acetate or other bases via the E2 and E1 mechanism. The observed regioselectivity of nucleophilic addition to substituted cyclohexynes conforms to the LUMO populations: the less deformed acetylenic carbon is more electrophilic. Cycloheptyne can form by the E1-type elimination via 1,2-rearrangement from cyclohexylidenemethyliodonium salt under very weakly basic conditions. ",Accounts of chemical research,"Tadashi Okuyama, Morifumi Fujita"," Graduate School of Material Science, Himeji Institute of Technology, University of Hyogo, Kamigori, Hyogo 678-1297, Japan. okuyama@sci.u-hyogo.ac.jp",2005 Aug;38(8):679-86,10.1021/ar040293r
27794450,20170201,article,"xref,mesh","Cell Culture Techniques,Cells, Cultured,Cytochrome P-450 Enzyme System,Drug Evaluation, Preclinical,Drug-Related Side Effects and Adverse Reactions,Gelatin,Hep G2 Cells,Hepatocytes,Humans,Mesenchymal Stromal Cells,Pharmaceutical Preparations,Phenacetin,Polymers,Reactive Oxygen Species,Spheroids, Cellular,Testosterone,Umbilical Cord,Vinyl Compounds","cytology,drug effects,genetics,metabolism,methods,pharmacology","D003577 Q000235 NN,D022781 Q000378 YN,D059630 Q000166 NY,D004364 Q000378 NN,D018874 Q000187 YN,D014470 Q000166 NY,D017382 Q000378 NN,D022781 Q000187 YN,D018874 Q000378 YN,D013739 Q000494 NN,D004353 Q000379 NY,D010615 Q000494 NN,D003577 Q000378 NN","702,4594,4754,6013,7904,119207,5381226,12304591,135398735","53788700,53789428,53790678",3D engineered In vitro hepatospheroids for studying drug toxicity and metabolism.,"Drug toxicity is one of the reasons for late stage drug attrition, because of hepatotoxicity. Various in vitro liver models like primary human hepatocytes, immortalized human hepatic cell lines, liver slices and microsomes have been used; but limited by viability, hepatic gene expression and function. The 3D-engineered construct of hepatocyte-like-cells (HLCs) differentiated from stem cells, may provide a limitless source of hepatocytes with improved reproducibility. Towards this end, we used hepatospheroid",Toxicology in vitro : an international journal published in association with BIBRA,"Swati Chitrangi, Prabha Nair, Aparna Khanna"," Department of Biological Sciences, Sunandan Divatia School of Science, SVKM'S NMIMS (Deemed-to-be ) University, V. L Mehta road, Vile Parle (West), Mumbai 400056, Maharashtra, India. Division of Tissue Engineering and Regeneration Technologies, Biomedical Technology Wing, Shree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram 695012, Kerala, India. Department of Biological Sciences, Sunandan Divatia School of Science, SVKM'S NMIMS (Deemed-to-be ) University, V. L Mehta road,",2017 Feb;38(?):8-18,10.1016/j.tiv.2016.10.009
19549188,20090801,article,"xref,mesh","Animals,Breast Neoplasms,Cell Death,Cell Line, Tumor,Enzyme Inhibitors,Female,Fibroblasts,Humans,MAP Kinase Kinase 4,Mice,Paclitaxel,Phenylacetates,Phosphatidylinositol 3-Kinases,Protein Kinases,Proto-Oncogene Proteins c-akt,TOR Serine-Threonine Kinases,Vinyl Chloride","antagonists &amp; inhibitors,drug effects,enzymology,metabolism,pathology,pharmacology,physiology,toxicity","D011494 Q000187 NN,D010648 Q000494 NY,D017239 Q000633 NN,D048670 Q000378 NY,D019869 Q000378 NN,D014752 Q000494 NY,D011494 Q000502 NY,D051057 Q000037 NY,D016923 Q000187 NN,D005347 Q000502 NN,D005347 Q000201 NN,D005347 Q000187 NN,D019869 Q000037 NY,D051057 Q000378 NN,D004791 Q000494 NN,D001943 Q000473 NN","999,4666,6338,36314,184492,4409936,23690424,24180949,53903450,90951960,91454826","127589689,128132375,129598381,135897353,244515596,248184126",The novel molecule 2-[5-(2-chloroethyl)-2-acetoxy-benzyl]-4-(2-chloroethyl)-phenyl acetate inhibits phosphoinositide 3-kinase/Akt/mammalian target of rapamycin signalling through JNK activation in cancer cells.,"Screening a compound library of compound 48/80 analogues, we identified 2-[5-(2-chloroethyl)-2-acetoxy-benzyl]-4-(2-chloroethyl)-phenyl acetate (E1) as a novel inhibitor of the phosphoinositide 3-kinase/Akt pathway. In order to determine the mechanism of action of E1, we analysed the effect of E1 on components of the phosphoinositide 3-kinase/Akt/mammalian target of rapamycin (mTOR) pathway. E1 demonstrated dose-dependent and time-dependent repression of Akt and mTOR activity in prostate and breast cancer c",The FEBS journal,"Ka-Kei Ho, Evelyn Rosivatz, Richard M Gunn, Mark E B Smith, Alexandra V Stavropoulou, Erika Rosivatz, Macba G Numbere, John B Wong, Valerie G H Lafitte, Jonathan M Behrendt, Stephen S Myatt, Helen C Hailes, Rüdiger Woscholski, Eric W-F Lam"," Cancer Research UK Labs, Department of Oncology, Imperial College London, Hammersmith Hospital, UK.",2009 Aug;276(15):4037-50,10.1111/j.1742-4658.2009.07112.x
25445001,20150601,article,mesh,"Animals,CHO Cells,Cell Line,Chewing Gum,Chromosome Aberrations,Cricetulus,DNA Damage,Laurates,Male,Mice,Micronucleus Tests,Mutagenicity Tests,Mutagens,Mutation,Polymers,Polyvinyls,Toxicity Tests","drug effects,methods,toxicity","D018675 Q000379 NN,D015162 Q000379 NN,D007848 Q000633 NY,D011145 Q000633 NY,D009152 Q000379 NN,D009154 Q000187 NN,D004249 Q000187 NN,D011108 Q000633 NY,D002869 Q000187 NN,D002638 Q000633 NN,D009153 Q000633 NN",NULL,NULL,Evaluation of vinyl laurate in a battery of in vitro and in vivo tests for genotoxicity.,"Vinyl laurate is a potential residual monomer in chewing gum base formulated with polyvinyl acetate vinyl laurate copolymer (PVAcVL). The genotoxic potential of vinyl laurate was examined in a battery of in vitro and in vivo genotoxicity tests. Vinyl laurate was not mutagenic in Ames tests. In addition, it was not mutagenic in the HPRT mutation assay in L5178Y cells. An in vitro mammalian chromosome aberration assay performed in CHO cells was equivocal. Vinyl laurate and/or its metabolites were not clastoge",Regulatory toxicology and pharmacology : RTP,"Frédérique van Acker, Horst Messinger, Albert Bär"," TNO Triskelion BV, P.O. Box 844, 3700 AV Zeist, The Netherlands. Bioresco Ltd., Bundesstrasse 29, 4054 Basel, Switzerland. Bioresco Ltd., Bundesstrasse 29, 4054 Basel, Switzerland. Electronic address: horst.messinger@bioresco.ch.",2015 Jun;72(1):77-84,10.1016/j.yrtph.2014.09.016
12616416,20030101,article,"xref,mesh","Animals,Anticoagulants,Blood Vessel Prosthesis Implantation,Coated Materials, Biocompatible,Coronary Angiography,Coronary Stenosis,Coronary Vessels,Disease Models, Animal,Equipment Design,Follow-Up Studies,Heparin,Inflammation,Materials Testing,Models, Cardiovascular,Muscle, Smooth, Vascular,Polyvinyls,Severity of Illness Index,Stents,Swine,Treatment Outcome","cytology,diagnostic imaging,pathology,surgery,therapeutic use,therapy","D020099 Q000627 NY,D009131 Q000473 NN,D023921 Q000628 NN,D011145 Q000627 NN,D007249 Q000000981 NN,D000925 Q000627 NY,D009131 Q000000981 NN,D007249 Q000628 NN,D009131 Q000166 NN,D023921 Q000000981 NN,D003331 Q000601 NN,D006493 Q000627 NY","32742,61774,175988,22833565",128239005,Intense inflammatory reaction to heparin polymer coated intravascular Palmaz stents in porcine arteries compared to uncoated Palmaz stents.,The objective of this study was to evaluate the efficacy of heparin-polymer-coated intravascular stents in the reduction of vessel stenosis. Three types of coatings for Palmaz stents were tested: 1) heparin covalently bound to a polyethylene oxide (Hp-PEO) tether; 2) heparin copolymerized with ethylene vinyl acetate (Hp-Elvax) and 3) Elvax alone. Polymer-coated stents and uncoated controls were deployed in the external iliac arteries following endothelial injury in 18 swine. The animals were maintained on a,Cardiovascular and interventional radiology,"Scott C Goodwin, Hyo-Chun Yoon, Gary Chen, Peter Abdel-Sayed, Mary M Costantino, Sheila M Bonilla, Earl Nishimura"," Department of Radiology, Veterans Administration, Los Angeles, CA 90073, USA.",2003 Jan;26(2):158-67,10.1007/s00270-002-2562-0
1778997,19910901,article,mesh,"Analysis of Variance,Animals,Biocompatible Materials,Dexamethasone,Inflammation,Male,Mast Cells,Microscopy, Electron,Polyvinyls,Prostheses and Implants,Rats,Rats, Inbred Strains","administration &amp; dosage,drug effects,pharmacology,physiology","D008407 Q000502 NY,D003907 Q000494 NN,D003907 Q000008 NY,D008407 Q000187 NN","5743,32742,175988",NULL,Mast cells and tissue reaction to intraperitoneally implanted polymer capsules.,"The inflammatory reaction to implanted biomaterials often compromises the clinical usefulness of implantable devices. Dexamethasone, an anti-inflammatory agent, acts on macrophages to decrease production of inflammatory mediators, and on mast cells to prevent degranulation. Systemic administration of dexamethasone (dms) in rats decreases the tissue reaction to intraperitoneally implanted vinyl chloride-acrylic copolymer capsules. Local release of even smaller amounts of dms from a polymeric substrate placed",Journal of biomedical materials research,"L Christenson, L Wahlberg, P Aebischer"," Artificial Organ Laboratory, Brown University, Providence, Rhode Island 02912.",1991 Sep;25(9):1119-31,10.1002/jbm.820250906
15598563,20050117,article,"xref,mesh","Animals,Cell Line,Cell Movement,Fingolimod Hydrochloride,Humans,Immunosuppressive Agents,Lymphocytes,Mice,Models, Chemical,Molecular Structure,Propylene Glycols,Protein Binding,Rats,Rats, Sprague-Dawley,Receptors, Lysosphingolipid,Sphingosine,Stereoisomerism","analogs &amp; derivatives,chemical synthesis,drug effects,metabolism,pharmacology","D007166 Q000494 NY,D002465 Q000187 NN,D011409 Q000138 NY,D007166 Q000378 NN,D011409 Q000494 NY,D013110 Q000031 NN,D007166 Q000138 NY,D008214 Q000187 NN,D011409 Q000378 NN,D049349 Q000378 NN","7904,8252,31270,107969,107970,5280335,14122294","128394615,129060975,129645792,129740424,246464401",Asymmetric synthesis and biological evaluation of the enantiomeric isomers of the immunosuppressive FTY720-phosphate.,"A practical asymmetric synthesis of both enantiomers of the immunosuppressive FTY720-phosphate (2) was accomplished, and the enantiomers were pharmacologically evaluated. Several lipases showed considerable activity and enantioselectivity for O-acylation of N-acetyl FTY720 (3) or N-benzyloxycarbonyl FTY720 (7) in combination with vinyl acetate or benzyl vinyl carbonate as the acyl donors. The synthesis using the lipase-catalyzed acylation as the key step produced the enantiomerically pure (>99.5% ee) enanti",Bioorganic & medicinal chemistry,"Masatoshi Kiuchi, Kunitomo Adachi, Ayumi Tomatsu, Masao Chino, Shuzo Takeda, Yoshihito Tanaka, Yasuhiro Maeda, Noriko Sato, Naoko Mitsutomi, Kunio Sugahara, Kenji Chiba"," Research Laboratory III (Immunology), Mitsubishi Pharma Corporation, Kamoshida-cho 1000, Aoba-ku, Yokohama 227-0033, Japan. kiuchi.masatoshi@ms.m-pharma.co.jp",2005 Jan;13(2):425-32,10.1016/j.bmc.2004.10.008
20724776,20100917,article,"xref,mesh","Erythrocytes,Fullerenes,Furans,Hemolysis,Humans,Nanoparticles,Oxidative Stress,Polyvinyls,Serum Albumin,gamma-Cyclodextrins","adverse effects,chemistry,cytology,metabolism","D047408 Q000009 NN,D053758 Q000009 NY,D037741 Q000737 NN,D011145 Q000737 NN,D053758 Q000737 NN,D005663 Q000009 NN,D047408 Q000737 NN,D011145 Q000009 NN,D004912 Q000166 NN,D012709 Q000378 NN,D037741 Q000009 NY,D005663 Q000737 NN","8028,12035,32742,86575,123591,175988,5287407,18373617,101136809","127734565,128977994,129653995",Oxidative stress-mediated hemolytic activity of solvent exchange-prepared fullerene (C60) nanoparticles.,"The present study investigated the hemolytic properties of fullerene (C(60)) nanoparticles prepared by solvent exchange using tetrahydrofuran (nC(60)THF), or by mechanochemically assisted complexation with macrocyclic oligosaccharide gamma-cyclodextrin (nC(60)CDX) or the copolymer ethylene vinyl acetate-ethylene vinyl versatate (nC(60)EVA-EVV). The spectrophotometrical analysis of hemoglobin release revealed that only nC(60)THF, but not nC(60)CDX or nC(60)EVA-EVV, was able to cause lysis of human erythrocyt",Nanotechnology,"Andreja Trpkovic, Biljana Todorovic-Markovic, Duska Kleut, Maja Misirkic, Kristina Janjetovic, Ljubica Vucicevic, Aleksandar Pantovic, Svetlana Jovanovic, Miroslav Dramicanin, Zoran Markovic, Vladimir Trajkovic"," Vinca Institute of Nuclear Sciences, University of Belgrade, Belgrade, Serbia.",2010 Sep;21(37):375102,10.1088/0957-4484/21/37/375102
15054764,20040402,article,"xref,mesh","Models, Chemical,Molecular Structure,Molybdenum,Organometallic Compounds,Rhenium","chemical synthesis,chemistry","D008982 Q000737 NY,D009942 Q000737 NN,D009942 Q000138 NY,D012211 Q000737 NY","177,996,7672,7904,12980,23932,23947,31229,69295,69325,25087173","127732581,128065155,128180287,128199891,128215673,128594072,129475220,129740424",Reactivity of molybdenum and rhenium hydroxo-carbonyl complexes toward organic electrophiles.,"The hydroxo compounds [Re(OH)(CO)(3)(N-N)] (N-N=bipy, 2 a; Me(2)-bipy, 2 b) were prepared in a biphasic H(2)O/CH(2)Cl(2) medium by reaction of [Re(OTf)(CO)(3)(N-N)] with KOH. In contrast, when anhydrous CH(2)Cl(2) was used, the binuclear hydroxo-bridged compound [[Re(CO)(3)(bipy)](2)(mu-OH)]OTf (3-OTf) was obtained. Compound [Re(OH)(CO)(3)(Me(2)-bipy)] (2 b) reacted with phenyl acetate or vinyl acetate to afford [Re(OAc)(CO)(3)(Me(2)-bipy)] (4) and phenol or acetaldehyde, respectively. The reactions of [Mo(","Chemistry (Weinheim an der Bergstrasse, Germany)","Luciano Cuesta, Darío C Gerbino, Eva Hevia, Dolores Morales, M Elena Navarro Clemente, Julio Pérez, Lucía Riera, Víctor Riera, Daniel Miguel, Ignacio del Río, Santiago García-Granda"," Departamento de Química Orgánica e Inorgánica-IUQOEM, Facultad de Química, Universidad de Oviedo-CSIC, 33071 Oviedo, Spain.",2004 Apr;10(7):1765-77,10.1002/chem.200305577
1865025,19910201,article,mesh,"Amino Acid Sequence,Animals,Drug Implants,Giant Cells,Glass,Gonadotropin-Releasing Hormone,Granuloma, Foreign-Body,Granuloma, Giant Cell,Ictaluridae,Inulin,Macrophages,Molecular Sequence Data,Peritoneal Cavity,Polyvinyls,Serum Albumin, Bovine","administration &amp; dosage,adverse effects,analogs &amp; derivatives,etiology,pathology,physiology,ultrastructure","D015745 Q000473 NN,D008264 Q000502 NN,D015726 Q000502 NN,D015745 Q000209 NY,D007987 Q000031 NN,D006101 Q000209 NY,D006101 Q000473 NN,D010529 Q000473 NY,D012710 Q000008 NN,D015726 Q000648 NN,D004343 Q000009 NY,D007059 Q000502 NY,D007987 Q000008 NY,D007444 Q000008 NN","32742,36523,65331,175988,638793,5748256,11980076,23624131,60196354,134694103",NULL,Granulomatous inflammation and monstrous giant cells in response to intraperitoneal hormone implants in channel catfish (Ictalurus punctatus).,"Plastic implants (2.7 mm maximum dimension) of an ethyl vinyl acetate copolymer (EVAc) matrix, containing inulin, bovine serum albumin (BSA) and luteinizing hormone releasing hormone (LHRH), were covered with impervious EVAc and then surgically placed into the peritoneal cavity of 1-year-old channel catfish, Ictalurus punctatus. In fish kept in cold water (13 degrees C), 10 per cent of the implants per month were encapsulated by granulation tissue. In fish kept in warm water (27 degrees C), 20 per cent of t",Journal of comparative pathology,"A E Goodwin, J M Grizzle"," Department of Fisheries and Allied Aquacultures, Auburn University, Alabama 36849.",1991 Feb;104(2):147-60,10.1016/s0021-9975(08)80098-9
2494015,19890301,article,mesh,"Animals,Chronic Disease,Delayed-Action Preparations,Female,Inflammation,Interferon-gamma,Interleukin-1,Interleukin-2,Mice,Mice, Inbred Strains,Recombinant Proteins","administration &amp; dosage,etiology,pathology,pharmacology","D007375 Q000494 NY,D007371 Q000494 NY,D007376 Q000008 NN,D007376 Q000494 NY,D007249 Q000209 NY,D007375 Q000008 NN,D007249 Q000473 NN,D011994 Q000494 NN,D007371 Q000008 NN,D011994 Q000008 NN",NULL,NULL,"Local pathological responses to slow-release recombinant interleukin-1, interleukin-2 and gamma-interferon in the mouse and their relevance to chronic inflammatory disease.","1. The present study describes the pathological responses to local administration of recombinant cytokines in subcutaneously implanted slow-release ethylene vinyl acetate (EVA) co-polymer in mice. 2. EVA-recombinant human interleukin-1 beta (10(4) units) implants induced the formation of chronic granulomatous inflammatory tissue between 4 and 7 days after implantation, characterized by predominant macrophage infiltration, neovascularization and fibrosis which persisted up to 21 days after-implantation. EVA-","Clinical science (London, England : 1979)","C J Dunn, M M Hardee, A J Gibbons, N D Staite, K A Richard"," Department of Hypersensitivity Diseases Research, Upjohn Company, Kalamazoo, Michigan 49001.",1989 Mar;76(3):261-3,10.1042/cs0760261
2508441,19890601,article,mesh,"Animals,Female,Inflammation,Injections, Subcutaneous,Interferon-gamma,Interleukin-1,Interleukin-2,Mice,Recombinant Proteins,Skin,Tumor Necrosis Factor-alpha","chemically induced,pathology,toxicity","D007376 Q000633 NY,D007371 Q000633 NY,D007375 Q000633 NY,D012867 Q000473 NN,D014409 Q000633 NY,D011994 Q000633 NN,D007249 Q000139 NY,D007249 Q000473 NN",NULL,NULL,"Acute and chronic inflammatory responses to local administration of recombinant IL-1 alpha, IL-beta, TNF alpha, IL-2 and Ifn gamma in mice.","The contention that cytokines are important mediators of inflammation prompted the present studies which were designed to compare acute and chronic pathological effects of locally-administered recombinant (r) IL-1 alpha, IL-1 beta, TNF alpha, IL-2 and Ifn gamma. Acute (6 hr), resolving (48 hr) inflammation was induced by the following, in order of potency: rIL-1 alpha greater than rIL-1 beta greater than rTNF alpha greater than rIfn gamma = BSA (control) following a single sc. injection. However, only rIL-1",Agents and actions,"C J Dunn, M M Hardee, N D Staite"," Department of Hypersensitivity Diseases Research, Upjohn Company, Kalamazoo, MI 94001.",1989 Jun;27(?):290-3,10.1007/bf01972801
8980737,19960101,article,mesh,"Amsacrine,Animals,Antineoplastic Agents,Brain Neoplasms,Cell Death,Cell Division,Delayed-Action Preparations,Drug Implants,Glioma,Humans,Lymphocytes,Male,Necrosis,Rats,Rats, Sprague-Dawley,Remission Induction,Spectrophotometry,Survival Analysis,Tumor Cells, Cultured","administration &amp; dosage,analysis,drug effects,drug therapy,pathology","D000970 Q000008 NY,D002455 Q000187 NN,D008214 Q000473 NN,D001932 Q000473 NN,D005910 Q000188 NY,D001932 Q000188 NY,D005910 Q000473 NN,D000677 Q000032 NN,D000677 Q000008 NY","2179,88124,148673,148674",NULL,Polymeric controlled-release amsacrine chemotherapy in an experimental glioma model.,The purpose of this study was to fabricate and investigate amsacrine containing polymeric rods for use in interstitial chemotherapy of malignant glioma. Ethylene vinyl acetate copolymer (EVAc) rods containing 40% amsacrine (AMSA) were fabricated successfully with an extrusion method. In vitro kinetic studies revealed a high level of reproducibility of the production process. The release of AMSA showed a biphasic pattern consistent with a matrix-type controlled-release system with an initial more rapid relea,Acta neurochirurgica,"L U Wahlberg, P M Almqvist, M J Glantz, J Boëthius"," Department of Clinical Neuroscience, Karolinska Institute, Stockholm, Sweden.",1996 Jan;138(11):?,10.1007/bf01411063
10712481,20000301,article,mesh,"Aging,Animals,Carrier Proteins,Coloring Agents,Electrophysiology,Female,GABA Plasma Membrane Transport Proteins,Glutamate Decarboxylase,Immunohistochemistry,Lysine,Membrane Potentials,Membrane Proteins,Membrane Transport Proteins,N-Methylaspartate,Neurons,Organic Anion Transporters,Patch-Clamp Techniques,Pregnancy,Rats,Rats, Sprague-Dawley,Superior Colliculi,gamma-Aminobutyric Acid","analogs &amp; derivatives,cytology,drug effects,metabolism,pharmacology,physiology,ultrastructure","D005968 Q000378 NN,D008565 Q000378 NN,D013477 Q000502 NN,D005680 Q000378 NN,D002352 Q000378 NN,D013477 Q000187 NY,D016202 Q000494 NY,D008239 Q000031 NN,D000375 Q000502 NN,D013477 Q000166 NN,D005680 Q000502 NY,D008564 Q000502 NN,D009474 Q000648 NN","119,5962,12047,22880,69568,83814,104152,641599",NULL,Chronic NMDA exposure accelerates development of GABAergic inhibition in the superior colliculus.,"Maturation of excitatory synaptic connections depends on the amount and pattern of their activity, and activity can affect development of inhibitory synapses as well. In the superficial visual layers of the superior colliculus (sSC), developmental increases in the effectiveness of gamma-aminobutyric acid (GABA(A)) receptor-mediated inhibition may be driven by the maturation of visual inputs. In the rat sSC, GABA(A) receptor currents significantly jump in amplitude between postnatal days 17 and 18 (P17 and P",Journal of neurophysiology,"S M Aamodt, J Shi, M T Colonnese, W Veras, M Constantine-Paton"," Department of Molecular Cellular and Developmental Biology, Yale University, New Haven, Connecticut 06520, USA.",2000 Mar;83(3):1580-91,10.1152/jn.2000.83.3.1580
12676450,20030411,review,"xref,mesh","Acrylamide,Acrylonitrile,Animals,Carcinogens,Dose-Response Relationship, Drug,Formaldehyde,Germany,Humans,Mutagenicity Tests,Trichloroethylene","administration &amp; dosage,classification,metabolism,methods,toxicity","D009152 Q000379 NY,D005557 Q000008 NN,D014241 Q000378 NN,D020106 Q000633 NN,D020106 Q000378 NN,D005557 Q000633 NN,D005557 Q000378 NN,D002273 Q000145 YN,D000181 Q000633 NN,D002273 Q000633 YN,D020106 Q000008 NN,D000181 Q000008 NN,D014241 Q000008 NN,D000181 Q000378 NN,D002273 Q000008 YN,D014241 Q000633 NN","712,6575,6579,7855,7904","128103209,128718804,129735795,129740424",Genotoxicity--threshold or not? Introduction of cases of industrial chemicals.,Many industrially and environmentally important industrial carcinogens display effects that lead them to be viewed and regulated as 'genotoxic compounds'. Some of these chemicals cause experimental tumours only at high or toxic doses. The current view is that non-threshold principles should be applied for risk assessments and to define permissible exposure values. The toxicological impact of underlying mechanisms is frequently not well investigated and understood. The classification of carcinogens is now in,Toxicology letters,Hermann M Bolt," Institut für Arbeitsphysiologie an der Universität Dortmund, Ardeystr. 67, D-44139, Dortmund, Germany. bolt@ifado.de",2003 Apr;?(?):43-51,10.1016/s0378-4274(02)00495-2
15698620,20050301,article,"xref,mesh","1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine,Animals,Antiparkinson Agents,Apomorphine,Disease Models, Animal,Dopamine Agonists,Dose-Response Relationship, Drug,Drug Administration Schedule,Drug Implants,Dyskinesias,Inflammation,Injections, Subcutaneous,Macaca fascicularis,Male,Movement,Parkinsonian Disorders,Polyvinyls,Recovery of Function,Steroids","administration &amp; dosage,adverse effects,blood,chemically induced,complications,drug effects,drug therapy,etiology,physiopathology,prevention &amp; control,therapeutic use","D001058 Q000009 NN,D007249 Q000188 NN,D018491 Q000008 NY,D020734 Q000188 NY,D018491 Q000009 NN,D020820 Q000209 NN,D013256 Q000627 NN,D007249 Q000139 NN,D001058 Q000008 NY,D020127 Q000187 NN,D000978 Q000009 NN,D011145 Q000008 NN,D001058 Q000097 NN,D011145 Q000009 NN,D020734 Q000503 NN,D009068 Q000187 NN,D020820 Q000517 NY,D020734 Q000150 NN,D000978 Q000008 NY","681,1388,6005,9410,32742,61774,107882,175988,25058166","128239005,128934001,129497604,129544235",Continuous dopaminergic stimulation reduces risk of motor complications in parkinsonian primates.,"Levodopa or short-acting dopamine (DA) agonist treatment of advanced parkinsonian patients exposes striatal DA receptors to non-physiologic intermittent stimulation that contributes to the development of dyskinesias and other motor complications. To determine whether continuous dopaminergic stimulation can delay or prevent onset of motor complications, four MPTP-lesioned, levodopa-naive cynomolgus monkeys were implanted subcutaneously with apomorphine containing ethylene vinyl acetate rods. Three other MPTP",Experimental neurology,"Francesco Bibbiani, Lauren C Costantini, Raj Patel, Thomas N Chase"," Experimental Therapeutic Branch, Building 10, Room 5C103, National Institute of Neurological Disorders and Stroke, NIH, Bethesda, MD 20892-1406, USA.",2005 Mar;192(1):73-8,10.1016/j.expneurol.2004.11.013
16978761,20061110,article,xref,"Cytochrome P-450 CYP2E1,DNA, Bacterial,Dose-Response Relationship, Drug,Mutagenicity Tests,Mutagens,Plasmids,Salmonella typhimurium,Species Specificity,Substrate Specificity,Transfection,Xenobiotics","classification,drug effects,enzymology,genetics,metabolism,methods,toxicity","D015262 Q000145 NN,D012486 Q000201 NY,D012486 Q000235 NN,D019392 Q000235 NN,D009152 Q000379 NN,D019392 Q000378 NY,D010957 Q000235 NN,D009153 Q000145 NN,D012486 Q000187 NN,D009153 Q000633 NY,D015262 Q000633 NY","178,1539,5641,5921,6378,6575,6579,6656,7850,7855,7904,8252,8821,11937,13591,31373","127618454,127697393,127750840,127983601,128103209,128278985,128306526,128718804,128854081,129060975,129371915,129557820,129608820,129735795,129740424,129776823",Mutagenicity of cytochrome P450 2E1 substrates in the Ames test with the metabolic competent S. typhimurium strain YG7108pin3ERb5.,"Poor metabolic competence of in vitro systems was proposed to be one of their major shortcomings accounting for false negative results in genotoxicity testing. For several ""low molecular weight cancer suspects"" this was specifically attributed to the lack of cytochrome P450 2E1 (CYP2E1) in conventional in vitro metabolising systems. One promising attempt to overcome this problem is the transfection of ""methyltransferase-deficient""S. typhimurium strains with the plasmid pin3ERb5. This plasmid contains DNA en",Toxicology,"Birgit Emmert, Jürgen Bünger, Kristian Keuch, Michael Müller, Steffen Emmert, Ernst Hallier, Götz A Westphal"," Department of Occupational and Social Health, Georg-August-University Göttingen, Waldweg 37, Göttingen, Germany. baut@gwdg.de",2006 Nov;228(1):66-76,10.1016/j.tox.2006.08.013
