17655273,20070901,article,"xref,mesh","Acrolein,Amino Acid Sequence,Binding Sites,Enzyme Activation,Humans,Kinetics,Molecular Sequence Data,Protein Tyrosine Phosphatase, Non-Receptor Type 1,Spectrometry, Mass, Electrospray Ionization,Structure-Activity Relationship,Time Factors",chemistry,"D054562 Q000737 NY,D000171 Q000737 NY","177,527,5862,6057,7847,7860,20138,30819,61020,61671,54499104","53789692,53790718,127716469,128056944,128180287,128478271,128614243,128676645,128865459,129225032,129742316,129770500",Kinetics and mechanism of protein tyrosine phosphatase 1B inactivation by acrolein.,"Human cells are exposed to the electrophilic alpha,beta-unsaturated aldehyde acrolein from a variety of sources. The reaction of acrolein with functionally critical protein thiol residues can yield important biological consequences. Protein tyrosine phosphatases (PTPs) are an important class of cysteine-dependent enzymes whose reactivity with acrolein previously has not been well-characterized. These enzymes catalyze the dephosphorylation of phosphotyrosine residues on proteins via a phosphocysteine interme",Chemical research in toxicology,"Derrick R Seiner, Jason N LaButti, Kent S Gates"," Department of Chemistry, University of Missouri, Columbia, MO 65211, USA. gatesk@missouri.edu",2007 Sep;20(9):1315-20,10.1021/tx700213s
17318410,20070701,article,"xref,mesh","Acrolein,Animals,Calcium,Cells, Cultured,Cyclooxygenase 2,Enzyme Induction,Epithelial Cells,Extracellular Signal-Regulated MAP Kinases,Humans,Lung,MAP Kinase Kinase Kinase 1,NF-kappa B,Proto-Oncogene Proteins c-raf,Rats,Signal Transduction,Transcription, Genetic,ras Proteins","cytology,drug effects,genetics,metabolism,pharmacology,physiology","D008168 Q000187 NN,D004847 Q000187 NY,D048728 Q000378 NN,D004847 Q000166 NN,D016328 Q000378 NN,D000171 Q000494 NY,D018631 Q000378 NN,D019908 Q000378 NN,D051546 Q000378 NY,D004847 Q000378 NY,D048049 Q000378 NN,D051546 Q000235 NN,D008168 Q000166 NY,D002118 Q000378 NN,D015398 Q000502 NN","7847,5460341,6337033",128056944,Induction of COX-2 by acrolein in rat lung epithelial cells.,"Acrolein is a highly reactive alpha, beta-unsaturated aldehyde, and a product of lipid peroxidation reactions. Acrolein is also an environmental pollutant and a key component of cigarette smoke, and has been implicated in multiple respiratory diseases. Lung tissue is a primary target for acrolein toxicity in smokers and may lead to chronic lung inflammation and lung cancer. Chronic inflammation, associated with expression of cyclooxygenase-2 (COX-2) and prostaglandins, are predisposing factors for malignanc",Molecular and cellular biochemistry,"Poonam Sarkar, Barbara E Hayes"," College of Pharmacy and Health Sciences, Texas Southern University, Houston, TX 77004, USA.",2007 Jul;301(?):191-9,10.1007/s11010-007-9411-z
17921335,20071201,article,"xref,mesh","Acetylcysteine,Acrolein,Aldehydes,Animals,Antioxidants,Calcium Signaling,Dose-Response Relationship, Drug,Electrophoresis, Gel, Two-Dimensional,Environmental Exposure,Environmental Pollutants,Lipid Peroxidation,Male,Mice,Mice, Inbred C57BL,Myocardial Contraction,Myocytes, Cardiac,Oxidative Stress,Protein Carbonylation,Proteomics,Risk Assessment,Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization,Sulfhydryl Compounds,Ventricular Dysfunction, Left,Ventricular Pressure","chemically induced,drug effects,metabolism,methods,pharmacology,physiopathology,prevention &amp; control,therapeutic use,toxicity","D000447 Q000378 NN,D000111 Q000627 NN,D018487 Q000517 NN,D018487 Q000503 NN,D013438 Q000378 NN,D009200 Q000187 NY,D000111 Q000494 NN,D032383 Q000378 NY,D000975 Q000494 NN,D020013 Q000187 NY,D000975 Q000627 NN,D018487 Q000378 NN,D018384 Q000187 NY,D004785 Q000633 NY,D018487 Q000139 NY,D017725 Q000187 NN,D050050 Q000187 NN,D000171 Q000633 NY,D040901 Q000379 NN,D000447 Q000633 NY,D032383 Q000187 NN","7847,12035,189460,12114682,23678798","53790718,127350601,128056944,128590515,128977994",Mechanisms of acrolein-induced myocardial dysfunction: implications for environmental and endogenous aldehyde exposure.,"Aldehydes are ubiquitous pollutants generated during the combustion of organic materials and are present in air, water, and food. Several aldehydes are also endogenous products of lipid peroxidation and by-products of drug metabolism. Despite well-documented high reactivity of unsaturated aldehydes, little is known regarding their cardiovascular effects and their role in cardiac pathology. Accordingly, we examined the myocardial effects of the model unsaturated aldehyde acrolein. In closed-chest mice, intra",American journal of physiology. Heart and circulatory physiology,"Jianzhu Luo, Bradford G Hill, Yan Gu, Jian Cai, Sanjay Srivastava, Aruni Bhatnagar, Sumanth D Prabhu"," Institute of Molecular Cardiology, Department of Medicine, University of Louisville, 550 South Jackson Street, Louisville, KY 40202, USA.",2007 Dec;293(6):H3673-84,10.1152/ajpheart.00284.2007
17995940,20080201,article,"xref,mesh","Acrolein,Analysis of Variance,Animals,Antihypertensive Agents,Dextrans,Drug Interactions,Glutathione,Guinea Pigs,Hydralazine,In Vitro Techniques,L-Lactate Dehydrogenase,Neural Conduction,Rhodamines,Spinal Cord Injuries,Superoxides,Tetrazolium Salts,Thiazoles","adverse effects,chemically induced,drug effects,drug therapy,etiology,metabolism,therapeutic use","D009431 Q000187 NN,D013481 Q000378 NN,D006830 Q000627 NY,D013119 Q000139 YN,D000959 Q000627 NY,D013119 Q000209 YN,D007770 Q000378 NN,D000171 Q000009 NY,D005978 Q000378 NN,D013119 Q000188 YN","612,3637,6695,7847,9256,9351,64965,64966,67519,124886,4125253,5359597,5460037","128056944,128334455,128392536,129192846,129401397",Hydralazine inhibits compression and acrolein-mediated injuries in ex vivo spinal cord.,"We have previously shown that acrolein, a lipid peroxidation byproduct, is significantly increased following spinal cord injury in vivo, and that exposure to neuronal cells results in oxidative stress, mitochondrial dysfunction, increased membrane permeability, impaired axonal conductivity, and eventually cell death. Acrolein thus may be a key player in the pathogenesis of spinal cord injury, where lipid peroxidation is known to be involved. The current study demonstrates that the acrolein scavenger hydrala",Journal of neurochemistry,"Kristin Hamann, Genevieve Nehrt, Hui Ouyang, Brad Duerstock, Riyi Shi"," Department of Basic Medical Sciences, Center for Paralysis Research, Purdue University, West Lafayette, Indiana 47907, USA.",2008 Feb;104(3):708-18,10.1111/j.1471-4159.2007.05002.x
18566440,20080701,article,"xref,mesh","Acrolein,Acute Disease,Administration, Inhalation,Animals,Apoptosis,Cytokines,JNK Mitogen-Activated Protein Kinases,Lipopolysaccharides,Lung Diseases,Male,Mice,Mice, Inbred C57BL,NF-kappa B,Neutrophils,Th1 Cells,Th2 Cells","administration &amp; dosage,antagonists &amp; inhibitors,biosynthesis,chemically induced,drug effects,immunology,metabolism,microbiology,pathology,pharmacology","D018417 Q000276 NN,D016207 Q000276 NN,D017209 Q000187 NN,D018418 Q000276 NN,D016207 Q000096 NY,D018417 Q000378 NN,D008171 Q000276 NY,D016328 Q000378 NN,D008171 Q000382 NY,D000171 Q000494 NY,D008070 Q000037 NN,D009504 Q000276 NN,D048031 Q000378 NN,D018418 Q000378 NN,D009504 Q000378 NN,D008171 Q000139 NN,D000171 Q000008 NY,D009504 Q000473 NY,D008070 Q000494 NY",7847,"127350601,128056944",Acrolein inhalation suppresses lipopolysaccharide-induced inflammatory cytokine production but does not affect acute airways neutrophilia.,"Acrolein is a reactive unsaturated aldehyde that is produced during endogenous oxidative processes and is a major bioactive component of environmental pollutants such as cigarette smoke. Because in vitro studies demonstrate that acrolein can inhibit neutrophil apoptosis, we evaluated the effects of in vivo acrolein exposure on acute lung inflammation induced by LPS. Male C57BL/6J mice received 300 microg/kg intratracheal LPS and were exposed to acrolein (5 parts per million, 6 h/day), either before or after","Journal of immunology (Baltimore, Md. : 1950)","David Itiro Kasahara, Matthew E Poynter, Ziryan Othman, David Hemenway, Albert van der Vliet"," Department of Pathology, Vermont Lung Center, College of Medicine, University of Vermont, Burlington, VT 05405, USA.",2008 Jul;181(1):736-45,10.4049/jimmunol.181.1.736
19371603,20090415,article,"xref,mesh","Acrolein,Animals,Apolipoproteins E,Atherosclerosis,Calcium,Cell Line,Environmental Pollutants,Gene Expression Regulation,Macrophages,Matrix Metalloproteinases,Mice,Mice, Knockout,Reactive Oxygen Species,Xanthine Oxidase","drug effects,enzymology,genetics,metabolism,toxicity","D001057 Q000378 NN,D050197 Q000235 NN,D008264 Q000378 NY,D001057 Q000235 NN,D002118 Q000378 NN,D020782 Q000378 NY,D005786 Q000187 NN,D000171 Q000633 NY,D017382 Q000378 NY,D004785 Q000633 NN,D050197 Q000201 NN,D008264 Q000187 NY,D014969 Q000378 NN","1188,2094,2214,4644,7847,9001,9002,12035,104751,5460341,6337033,135398752,135401907","53787929,53789288,53789876,53790587,53790718,85756464,127729338,128056944,128127377,128530096,128799971,128977994,129753344",Acrolein activates matrix metalloproteinases by increasing reactive oxygen species in macrophages.,"Acrolein is a ubiquitous component of environmental pollutants such as automobile exhaust, cigarette, wood, and coal smoke. It is also a natural constituent of several foods and is generated endogenously during inflammation or oxidation of unsaturated lipids. Because increased inflammation and episodic exposure to acrolein-rich pollutants such as traffic emissions or cigarette smoke have been linked to acute myocardial infarction, we examined the effects of acrolein on matrix metalloproteinases (MMPs), whic",Toxicology and applied pharmacology,"Timothy E O'Toole, Yu-Ting Zheng, Jason Hellmann, Daniel J Conklin, Oleg Barski, Aruni Bhatnagar"," Institute of Molecular Cardiology, Department of Medicine, University of Louisville, Louisville, KY 40202, USA. teotoo01@gwise.louisville.edu",2009 Apr;236(2):194-201,10.1016/j.taap.2009.01.024
20218173,20091201,article,"xref,mesh","Acrolein,Air Pollutants,Animals,Apoptosis,Bronchoalveolar Lavage Fluid,Disease Models, Animal,Female,Gene Expression,Granulocyte-Macrophage Colony-Stimulating Factor,Interferon-gamma,Lung,Macrophages, Alveolar,Mice,Mice, Inbred C57BL,Mice, Transgenic,Oligonucleotide Array Sequence Analysis,Pneumonia,Receptors, Antigen, T-Cell, alpha-beta,Receptors, Antigen, T-Cell, gamma-delta,Respiratory Mucosa,T-Lymphocyte Subsets,Urban Health","chemically induced,drug effects,genetics,metabolism,pathology,physiology,toxicity","D016178 Q000378 NN,D020545 Q000187 NN,D017209 Q000187 NN,D016676 Q000473 NN,D016693 Q000235 NN,D007371 Q000378 NN,D008168 Q000473 NN,D016176 Q000502 NY,D011014 Q000473 NN,D016176 Q000187 NN,D016692 Q000235 NN,D020545 Q000473 NN,D000393 Q000633 NY,D016676 Q000187 NN,D011014 Q000235 NN,D000171 Q000633 NY,D011014 Q000139 NY,D008168 Q000187 NY",7847,128056944,The role of T cells in the regulation of acrolein-induced pulmonary inflammation and epithelial-cell pathology.,"Exposure to acrolein in the ambient air in urban environments represents a considerable hazard to human health. Acrolein exposure causes airway inflammation, accumulation of monocytes, macrophages, and lymphocytes in the interstitium, mucous-cell metaplasia, and airspace enlargement. Currently, the mechanisms that control these events are unclear, and the relative contribution of T-cell subpopulations to pulmonary pathology after exposure to air toxics is unknown. In this study, we used a mouse model of pul",Research report (Health Effects Institute),"Michael T Borchers, Scott C Wesselkamper, Hitesh Deshmukh, Erin Beckman, Mario Medvedovic, Maureen Sartor, George D Leikauf, HEI Health Review Committee"," Department of Environmental Health, Division of Environmental Genetics and Molecular Toxicology, University of Cincinnati College of Medicine, Cincinnati, OH 45267-0056, USA.",2009 Dec;?(146):5-29,NULL
20555145,20100101,article,"xref,mesh","Acacia,Acrolein,Caspase 3,Catechin,Cell Line, Tumor,Cell Survival,Dimerization,Flavonoids,Humans,Lipid Peroxidation,NADPH Oxidases,Nerve Degeneration,Neuroblastoma,Neurons,Neuroprotective Agents,Oxidative Stress","analogs &amp; derivatives,chemistry,cytology,drug effects,drug therapy,metabolism,pharmacology,physiology","D009474 Q000187 NY,D002470 Q000187 NN,D005419 Q000494 NY,D018696 Q000737 NN,D009474 Q000166 NN,D005419 Q000737 NN,D002392 Q000737 NN,D002392 Q000031 NY,D015227 Q000187 NN,D002392 Q000494 NN,D018696 Q000494 NY,D018384 Q000187 NY,D002470 Q000502 NN,D053148 Q000378 NN,D009474 Q000378 NN,D009410 Q000188 NN,D015227 Q000502 NN,D019255 Q000378 NN,D009410 Q000378 NN,D000045 Q000737 NY","1203,5884,7847,9064,65064,72276,83651,124886,182232,255538","128056944,128909635,129192846,129200382,129601215,136210299","Robinetinidol-(4beta-->8)-epigallocatechin 3-O-gallate, a galloyl dimer prorobinetinidin from Acacia mearnsii De Wild, effectively protects human neuroblastoma SH-SY5Y cells against acrolein-induced oxidative damage.","Acrolein is a highly electrophilic alpha, beta-unsaturated aldehyde to which humans are exposed in many situations and has been implicated in neurodegenerative diseases such as Alzheimer's disease. A galloyl dimer prorobinetinidin from Acacia mearnsii De Wild, robinetinidol-(4beta-->8)-epigallocatechin 3-O-gallate (REO), has antioxidant properties and could protect brain against acrolein-induced oxidative damage. In this study, the molecular basis of acrolein-induced cytotoxicity in human neuroblastoma SH-S",Journal of Alzheimer's disease : JAD,"Wen Huang, Hai Niu, Xinsheng Xue, Junxiang Li, Chenwei Li"," Institute for Nanobiomedical Technology and Membrane Biology, State Key Lab of Biotherapy of Human Diseases, Department of Integrated Traditional Chinese and Western Medicine, West China Hospital, West China Medical School, Sichuan University, Chengdu, China. huangwen@scu.edu.cn",2010 Jan;21(2):493-506,10.3233/jad-2010-090886
20565308,20100601,article,"xref,mesh","Acrolein,Antioxidants,Cells, Cultured,Cytoprotection,Drug Synergism,Humans,Hydrogen Peroxide,Lutein,Meclofenamic Acid,Oxidative Stress,Phagocytosis,Retinal Pigment Epithelium,Smoking,Stilbenes,Xanthophylls,Zeaxanthins","administration &amp; dosage,adverse effects,cytology,drug effects,pharmacology,toxicity","D024341 Q000494 NN,D012907 Q000009 NN,D013267 Q000494 NY,D010587 Q000187 NN,D006861 Q000633 NN,D000171 Q000633 NN,D008469 Q000494 NN,D000171 Q000008 NN,D018384 Q000187 NY,D055213 Q000166 NN,D000975 Q000494 NY,D014975 Q000494 NN,D019610 Q000187 NN,D055213 Q000187 NY","784,1070,4036,4037,4038,5056,7847,91445,181579,445154,448437,1548910,5280899,5281243,5368396,6433159,9883509,16061195,16061204,23663959,25113755,44347793,102514741,126970006","128056944,128288886,128542940,128684338,129210969",Resveratrol protects human retinal pigment epithelial cells from acrolein-induced damage.,"PURPOSE: Although the exact pathogenesis of age-related macular degeneration (AMD) is not clear, most studies indicate a role for retinal pigment epithelial (RPE) cell damage and death caused by oxidative stress. The purpose of this study was to examine the potential protective effects of lutein, zeaxanthin, meclofenamic acid, and resveratrol on the acrolein-induced oxidative stress in human RPE cells. METHODS: Cultured human RPE R-50 cells were treated with acrolein at different concentrations and treatmen",Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics,"Shwu-Jiuan Sheu, Ni-Chun Liu, Jiunn-Liang Chen"," Department of Ophthalmology, Kaohsiung Veterans General Hospital, Kaohsiung City, Taiwan. sjsheu@vghks.gov.tw",2010 Jun;26(3):231-6,10.1089/jop.2009.0137
21823221,20110901,review,"xref,mesh","Acrolein,Animals,Central Nervous System,Humans,Mitochondria,Multiple Sclerosis,Myelin Sheath,Spinal Cord Injuries,Trauma, Nervous System","drug effects,drug therapy,metabolism,toxicity","D009186 Q000378 NN,D008928 Q000187 NN,D013119 Q000188 NN,D000171 Q000378 NY,D020196 Q000378 NY,D002490 Q000187 NN,D008928 Q000378 NN,D000171 Q000633 NY,D009103 Q000188 NN","7847,124886,156288","128056944,128592556,129192846",Acrolein-mediated injury in nervous system trauma and diseases.,"Acrolein, an α,β-unsaturated aldehyde, is a ubiquitous pollutant that is also produced endogenously through lipid peroxidation. This compound is hundreds of times more reactive than other aldehydes such as 4-hydroxynonenal, is produced at much higher concentrations, and persists in solution for much longer than better known free radicals. It has been implicated in disease states known to involve chronic oxidative stress, particularly spinal cord injury and multiple sclerosis. Acrolein may overwhelm the anti",Molecular nutrition & food research,"Riyi Shi, Todd Rickett, Wenjing Sun"," Department of Basic Medical Sciences, Purdue University, West Lafayette, IN 47907-1244, USA. riyi@purdue.edu",2011 Sep;55(9):1320-31,10.1002/mnfr.201100217
21898908,20110901,review,"xref,mesh","Acrolein,Administration, Oral,Animals,Carcinogenicity Tests,DNA Adducts,Dogs,Food,Food Analysis,Germany,Humans,Mutagenicity Tests,Rats,Risk Assessment,Solanum tuberosum,Toxicity Tests,Toxicity Tests, Acute,Toxicity Tests, Chronic,Toxicity Tests, Subchronic","chemistry,methods,pharmacokinetics,toxicity,urine","D000171 Q000493 NY,D005504 Q000379 NN,D005502 Q000633 NY,D011198 Q000737 NN,D000171 Q000652 NN,D000171 Q000633 NY","7847,124886","128056944,129192846",Toxicology and risk assessment of acrolein in food.,"Acrolein is an α,β-unsaturated aldehyde formed by thermal treatment of animal and vegetable fats, carbohydrates and amino acids. In addition it is generated endogenously. As an electrophile, acrolein forms adducts with gluthathione and other cellular components and is therefore cytotoxic. Mutagenicity was shown in some in vitro tests. Acrolein forms different DNA adducts in vivo, but mutagenic and cancerogenous effects have not been demonstrated for oral exposure. In subchronic oral studies, local lesions w",Molecular nutrition & food research,"Klaus Abraham, Susanne Andres, Richard Palavinskas, Katharina Berg, Klaus E Appel, Alfonso Lampen"," Federal Institute for Risk Assessment (BfR), Berlin, Germany.",2011 Sep;55(9):1277-90,10.1002/mnfr.201100481
23296102,20130313,article,"xref,mesh","ADAM Proteins,Acrolein,Alzheimer Disease,Amyloid Precursor Protein Secretases,Amyloid beta-Protein Precursor,Animals,Brain,Cell Line,Cell Survival,Cognition,Disintegrins,Immunohistochemistry,Mice,Neurons,Oxidative Stress,Rats,Rats, Sprague-Dawley,Specific Pathogen-Free Organisms","chemically induced,drug effects,metabolism,pathology,toxicity","D000544 Q000139 NY,D002470 Q000187 NN,D053829 Q000378 NN,D016564 Q000378 NN,D009474 Q000187 NN,D000544 Q000473 NN,D000544 Q000378 NN,D001921 Q000378 NN,D001921 Q000473 NN,D009474 Q000473 NN,D003071 Q000187 NN,D018384 Q000187 NY,D001921 Q000187 NY,D009474 Q000378 NN,D051722 Q000378 NN,D000171 Q000633 NY,D019483 Q000378 NN",7847,53790718,Acrolein induces Alzheimer's disease-like pathologies in vitro and in vivo.,"The pathologic mechanisms of Alzheimer's disease (AD) have not been fully uncovered. Acrolein, a ubiquitous dietary pollutant and by-product of oxidative stress, can induce cytotoxicity in neurons, which might play an important role in the etiology of AD. Here, we examined the effects of Acrolein on the AD pathologies in vitro and in vivo. We found Acrolein induced HT22 cells death in concentration- and time-dependent manners. Interestingly, Acrolein increased proteins' levels of amyloid precursor protein (",Toxicology letters,"Ying-Juan Huang, Ming-Hua Jin, Rong-Biao Pi, Jun-Jie Zhang, Ying Ouyang, Xiao-Juan Chao, Mei-Hui Chen, Pei-Qing Liu, Jian-Chen Yu, Charles Ramassamy, Juan Dou, Xiao-Hong Chen, Yi-Ming Jiang, Jian Qin"," Department of Traditional Chinese Medicine, The First Affiliated Hospital, Sun Yat-Sen University, Guangzhou 510080, China.",2013 Mar;217(3):184-91,10.1016/j.toxlet.2012.12.023
23633528,20130701,article,mesh,"Acetylation,Acrolein,Arylamine N-Acetyltransferase,Cells, Cultured,Humans,Isoenzymes,Kinetics,Xenobiotics","antagonists &amp; inhibitors,metabolism,pharmacology","D015262 Q000378 NY,D007527 Q000037 NY,D007527 Q000378 NN,D000171 Q000494 NY,D001191 Q000037 NY,D001191 Q000378 NN",7847,NULL,"Acrolein, an α,β-unsaturated aldehyde, irreversibly inhibits the acetylation of aromatic amine xenobiotics by human arylamine N-acetyltransferase 1.","Acrolein is an electrophilic α,β-unsaturated aldehyde of industrial, pharmaceutic, and toxicologic importance to which we are exposed in environmental, occupational, and therapeutic situations. Acrolein is known to exert different biologic effects through reactions with cellular macromolecules such as DNA, certain proteins, or glutathione. In many situations (such as in tobacco smoke or other fumes), exposure to acrolein occurs concomitantly with other compounds such as aromatic amine chemicals. Interesting",Drug metabolism and disposition: the biological fate of chemicals,"Linh C Bui, Amine Manaa, Ximing Xu, Romain Duval, Florent Busi, Jean-Marie Dupret, Fernando Rodrigues-Lima, Julien Dairou"," Unité de Biologie Fonctionnelle et Adaptative, CNRS EAC 4413, 75013, Paris. France.",2013 Jul;41(7):1300-5,10.1124/dmd.113.052258
24131734,20130101,article,mesh,"Acrolein,Animals,Asthma,Disease Models, Animal,Glutathione,Immunoglobulin G,Male,Mice,Mice, Inbred C57BL,NF-E2-Related Factor 2,Ovalbumin,Signal Transduction,Sulfhydryl Compounds,Th1-Th2 Balance,Transcription Factors","adverse effects,chemically induced,drug effects,metabolism,pharmacology,physiology,prevention &amp; control,therapeutic use","D058408 Q000187 NN,D000171 Q000627 NY,D000171 Q000494 NN,D013438 Q000378 NN,D051267 Q000378 NN,D001249 Q000139 NY,D001249 Q000378 NN,D005978 Q000378 NN,D010047 Q000009 NY,D015398 Q000187 NN,D007074 Q000378 NY,D014157 Q000378 NN,D001249 Q000517 NY,D015398 Q000502 NN","7847,124886,5289086",NULL,Acrolein exposure suppresses antigen-induced pulmonary inflammation.,"BACKGROUND: Adverse health effects of tobacco smoke arise partly from its influence on innate and adaptive immune responses, leading to impaired innate immunity and host defense. The impact of smoking on allergic asthma remains unclear, with various reports demonstrating that cigarette smoke enhances asthma development but can also suppress allergic airway inflammation. Based on our previous findings that immunosuppressive effects of smoking may be largely attributed to one of its main reactive electrophile",Respiratory research,"Page C Spiess, David Kasahara, Aida Habibovic, Milena Hristova, Matthew J Randall, Matthew E Poynter, Albert van der Vliet"," Department of Pathology, College of Medicine, D205 Given Building, 89 Beaumont Ave, Burlington, VT 05405, USA. albert.van-der-vliet@uvm.edu.",2013 Jan;14(1):107,10.1186/1465-9921-14-107
26232997,20150101,article,mesh,"Acrolein,Animals,Brain,Carotenoids,Glutathione,Lipid Peroxidation,Male,Neurodegenerative Diseases,Neuroprotective Agents,Oxidative Stress,Phosphorylation,Rats, Wistar,tau Proteins","administration &amp; dosage,drug effects,drug therapy,metabolism,pharmacology","D019636 Q000378 NN,D018384 Q000187 NN,D000171 Q000494 NY,D015227 Q000187 NN,D001921 Q000378 NN,D018696 Q000494 NY,D001921 Q000187 NY,D002338 Q000494 NY,D016875 Q000378 NY,D005978 Q000378 NN,D019636 Q000188 NN,D002338 Q000008 NN","7847,124886,5281233,6419725",NULL,Protective effect of crocin on acrolein-induced tau phosphorylation in the rat brain.,"Acrolein, as a by-product of lipid peroxidation, is implicated in brain aging and in the pathogenesis of oxidative stressmediated neurodegenerative disorders such as Alzheimer's disease (AD). Widespread human exposure to the toxic environmental pollutant that is acrolein renders it necessary to evaluate the effects of exogenous acrolein on the brain. This study investigated the toxic effects of oral administration of 3 mg/kg/day acrolein on the rat cerebral cortex. Moreover, the neuroprotective effects of c",Acta neurobiologiae experimentalis,"Marzieh Rashedinia, Parisa Lari, Khalil Abnous, Hossein Hosseinzadeh"," Department of Pharmacology and Toxicology, School of Pharmacy, Shiraz University of Medical Sciences, Shiraz, Iran. Department of Pharmacodynamy and Toxicology, School of Pharmacy, Mashhad University of Medical Sciences, Mashhad, Iran. Department of Medicinal Chemistry, Pharmaceutical Research Center, Mashhad University of Medical Sciences, Mashhad, Iran. Department of Pharmacodynamy and Toxicology, Pharmaceutical Research Center, School of Pharmacy, Mashhad University of Medical Sciences, Mashhad, Iran; E",2015 Jan;75(2):208-19,NULL
27802593,20170117,article,mesh,"Acrolein,Animals,Disease,Environmental Exposure,Environmental Pollutants,Humans","adverse effects,etiology,metabolism,toxicity","D004781 Q000009 NY,D004194 Q000209 NN,D000171 Q000378 NN,D004785 Q000633 NY,D004785 Q000378 NN,D000171 Q000633 NY",7847,NULL,Acrolein and Human Disease: Untangling the Knotty Exposure Scenarios Accompanying Several Diverse Disorders.,"Acrolein is a highly toxic electrophile that participates in many diseases, yet efforts to delineate its precise mechanistic contributions to specific conditions are complicated by its wide distribution within human environments. This Perspective develops the proposal that due to its mixed status as environmental pollutant, metabolic byproduct, and endotoxicant which forms via ubiquitous pathophysiological processes, many diseases likely involve acrolein released from multiple sources. Although the category",Chemical research in toxicology,Philip C Burcham," Pharmacology, Pharmacy & Anaesthesiology Unit, School of Medicine and Pharmacology, The University of Western Australia , Crawley, Western Australia 6007, Australia.",2017 Jan;30(1):145-161,10.1021/acs.chemrestox.6b00310
2369740,19900801,article,mesh,"Acrolein,Aldehydes,Cell Cycle,Cells, Cultured,Cyclophosphamide,Humans,Lymphocyte Activation,Phosphoramide Mustards,Sister Chromatid Exchange,T-Lymphocytes","analogs &amp; derivatives,cytology,drug effects,immunology,pharmacology","D000447 Q000494 NY,D013601 Q000276 NN,D010752 Q000494 NY,D000171 Q000494 NY,D013601 Q000166 NY,D003520 Q000031 NY,D002453 Q000187 NN,D012854 Q000187 NY,D013601 Q000187 NN","2907,7847,22420,96356,127131",NULL,Effect of acrolein on phosphoramide mustard-induced sister chromatid exchanges in cultured human lymphocytes.,"Although phosphoramide mustard (PM) is generally recognized as being the most genotoxic metabolite of cyclophosphamide (CP), the contribution of acrolein to the cytogenetic toxicity of CP is unclear. Besides covalently binding to DNA, acrolein can inactivate critical proteins necessary for replicative DNA synthesis, RNA transcription, cell membrane integrity, and metabolism of xenobiotic and endogenous substrates. Because enzymatic processes are involved in sister chromatid exchange (SCE) formation and DNA ",Cancer research,"J L Wilmer, G L Erexson, A D Kligerman"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709.",1990 Aug;50(15):4635-8,NULL
9266806,19970801,article,mesh,"Acrolein,Apoptosis,Cell Death,Cells, Cultured,Cytokines,Dose-Response Relationship, Drug,Enzyme Induction,Heme Oxygenase (Decyclizing),Heme Oxygenase-1,Humans,Lipopolysaccharides,Macrophages, Alveolar,Membrane Proteins,Necrosis,Oxidative Stress","antagonists &amp; inhibitors,biosynthesis,drug effects,enzymology,metabolism,pathology,pharmacology,toxicity","D016676 Q000473 NY,D008070 Q000494 NN,D017209 Q000187 NN,D018384 Q000187 NN,D016676 Q000201 NN,D016207 Q000378 NN,D006419 Q000096 NN,D016207 Q000037 NN,D006419 Q000187 NN,D016676 Q000187 NY,D016923 Q000187 NN,D004790 Q000187 NN,D000171 Q000633 NY",7847,NULL,Acrolein-induced cell death in human alveolar macrophages.,"Acrolein is an environmental air pollutant that is known to suppress respiratory host defense against infections. The mechanism of the decrease in host defense is not yet clear. In this study, the effects of acrolein on human alveolar macrophages and their function were examined. Acrolein caused dose-dependent cytotoxicity to alveolar macrophages as demonstrated by the induction of apoptosis and necrosis. In addition, at lower doses, acrolein caused induction of heme oxygenase 1 protein; however, stress pro",Toxicology and applied pharmacology,"L Li, R F Hamilton, D E Taylor, A Holian"," Department of Internal Medicine, Toxicology Program, University of Texas Houston Health Science 77030, USA. lili@heart.med.uth.tmc.edu",1997 Aug;145(2):331-9,10.1006/taap.1997.8189
10905545,20000101,article,"xref,mesh","Acrolein,Animals,Antihypertensive Agents,Cell Death,Free Radical Scavengers,Hepatocytes,Hydralazine,Male,Mice","drug effects,metabolism,toxicity","D022781 Q000378 NN,D000959 Q000378 NY,D016923 Q000187 NN,D000171 Q000378 NY,D006830 Q000378 NY,D000171 Q000633 NY,D022781 Q000187 NN,D016166 Q000378 NY","3637,7847,9351","53790673,53790718",The antihypertensive hydralazine is an efficient scavenger of acrolein.,"Recent work indicates the highly toxic alpha,beta-unsaturated aldehyde acrolein is formed during the peroxidation of polyunsaturated lipids, raising the possibility that it functions as a 'toxicological second messenger' during oxidative cell injury. Acrolein reacts rapidly with proteins, forming adducts that retain carbonyl groups. Damage by this route may thus contribute to the burden of carbonylated proteins in tissues. This work evaluated several amine compounds with known aldehyde-scavenging properties",Redox report : communications in free radical research,"P C Burcham, P G Kerr, F Fontaine"," Department of Clinical and Experimental Pharmacology, University of Adelaide, South Australia, Australia. philip.burcham@adelaide.edu.au",2000 Jan;5(1):47-9,10.1179/rer.2000.5.1.47
